!!			
!!  偵察戦力緊急展開！「光」作戦 (2017年 冬)			
!!			
ころらど	コロラド	固有一般	Colorado型戦艦 1番艦 BB-45
めりーらんど	Maryland	固有一般	Colorado型戦艦 2番艦 BB-46
めりーらんど	メリーランド	固有一般	Colorado型戦艦 2番艦 BB-46
うぇすとばーじにあ	West Virginia	固有一般	Colorado型戦艦 3番艦 BB-48
うぇすとばーじにあ	ウェストバージニア	固有一般	Colorado型戦艦 3番艦 BB-48
かいにぼ	改二戊	接尾一般	
!!			
!!  発動！「シングル作戦」 (2019年 夏)			
!!			
みくら	御蔵	固有一般	御蔵型 1番艦
みやけ	三宅	固有一般	御蔵型 2番艦
あわじ	淡路	固有一般	御蔵型 3番艦
のうみ	能美	固有一般	御蔵型 4番艦
くらはし	倉橋	固有一般	御蔵型 5番艦
やしろ	屋代	固有一般	御蔵型 6番艦
ちぶり	千振	固有一般	御蔵型 7番艦
くさがき	草垣	固有一般	御蔵型 8番艦
あぶるっつぃ	Abruzzi	固有一般	Luigi di Savoia Duca degli Abruzzi型軽巡洋艦 1番艦
あぶるっつぃ	L.d.S.D.d.Abruzzi	固有一般	Luigi di Savoia Duca degli Abruzzi型軽巡洋艦 1番艦
あぶるっつぃ	アブルッツィ	固有一般	Luigi di Savoia Duca degli Abruzzi型軽巡洋艦 1番艦
!!			
!!  進撃！第二次作戦「南方作戦」 (2020年 冬)			
!!			
でろいてる	De Ruyter	固有一般	De Ruyter型軽巡洋艦
でろいてる	デ・ロイテル	固有一般	De Ruyter型軽巡洋艦
ぱーす	Perth	固有一般	Perth型軽巡洋艦 1番艦
ぱーす	パース	固有一般	Perth型軽巡洋艦 1番艦
ほばーと	Hobart	固有一般	Perth型軽巡洋艦 2番艦
ほばーと	ホバート	固有一般	Perth型軽巡洋艦 2番艦
しどにー	Sydney	固有一般	Perth型軽巡洋艦 3番艦
しどにー	シドニー	固有一般	Perth型軽巡洋艦 3番艦
りあんだー	Leander	固有一般	Leander型軽巡洋艦 1番艦
りあんだー	リアンダー	固有一般	Leander型軽巡洋艦 1番艦
あきりーず	Achilles	固有一般	Leander型軽巡洋艦 2番艦
あきりーず	アキリーズ	固有一般	Leander型軽巡洋艦 2番艦
ねぷちゅーん	Neptune	固有一般	Leander型軽巡洋艦 3番艦
ねぷちゅーん	ネプチューン	固有一般	Leander型軽巡洋艦 3番艦
おらいおん	Orion	固有一般	Leander型軽巡洋艦 4番艦
おらいおん	オライオン	固有一般	Leander型軽巡洋艦 4番艦
えいじゃっくす	Ajax	固有一般	Leander型軽巡洋艦 5番艦
えいじゃっくす	エイジャックス	固有一般	Leander型軽巡洋艦 5番艦
あんふぃおん	Amphion	固有一般	Leander型軽巡洋艦 6番艦
あんふぃおん	アンフィオン	固有一般	Leander型軽巡洋艦 6番艦
あぽろ	Apollo	固有一般	Leander型軽巡洋艦 7番艦
あぽろ	アポロ	固有一般	Leander型軽巡洋艦 7番艦
ふぇーとん	Phaeton	固有一般	Leander型軽巡洋艦 8番艦
ふぇーとん	フェートン	固有一般	Leander型軽巡洋艦 8番艦
のーさんぷとん	Northampton	固有一般	Northampton型重巡洋艦 1番艦 CA-26
のーさんぷとん	ノーサンプトン	固有一般	Northampton型重巡洋艦 1番艦 CA-26
のーざんぷとん	Northampton	固有一般	Northampton型重巡洋艦 1番艦 CA-26
のーざんぷとん	ノーザンプトン	固有一般	Northampton型重巡洋艦 1番艦 CA-26
ちぇすたー	Chester	固有一般	Northampton型重巡洋艦 2番艦 CA-27
ちぇすたー	チェスター	固有一般	Northampton型重巡洋艦 2番艦 CA-27
るいびる	Louisville	固有一般	Northampton型重巡洋艦 3番艦 CA-28
るいびる	ルイビル	固有一般	Northampton型重巡洋艦 3番艦 CA-28
しかご	Chicago	固有一般	Northampton型重巡洋艦 4番艦 CA-29
しかご	シカゴ	固有一般	Northampton型重巡洋艦 4番艦 CA-29
ひゅーすとん	Houston	固有一般	Northampton型重巡洋艦 5番艦 CA-30
ひゅーすとん	ヒューストン	固有一般	Northampton型重巡洋艦 5番艦 CA-30
おーがすた	Augusta	固有一般	Northampton型重巡洋艦 6番艦 CA-31
おーがすた	オーガスタ	固有一般	Northampton型重巡洋艦 6番艦 CA-31
しんしゅうまる	神州丸	固有一般	特種船第1号
